0.6,0.56,0.64,0.65,0.52,0.46,0.57,0.61,0.48,0.38,0.43,0.49,0.49,0.39,0.65
0.56,0.52,0.66,0.68,0.52,0.44,0.53,0.58,0.49,0.38,0.43,0.45,0.42,0.35,0.63
0.54,0.49,0.67,0.69,0.52,0.42,0.48,0.53,0.52,0.37,0.41,0.46,0.39,0.33,0.61
0.52,0.47,0.67,0.7,0.55,0.39,0.43,0.49,0.56,0.43,0.4,0.47,0.42,0.33,0.6
0.49,0.45,0.65,0.69,0.55,0.36,0.37,0.45,0.59,0.49,0.47,0.49,0.46,0.38,0.59
0.51,0.47,0.63,0.67,0.55,0.36,0.37,0.45,0.66,0.53,0.51,0.53,0.52,0.43,0.58
0.53,0.49,0.62,0.67,0.53,0.42,0.37,0.45,0.64,0.55,0.56,0.55,0.55,0.47,0.57
0.54,0.49,0.61,0.66,0.51,0.43,0.41,0.48,0.63,0.59,0.61,0.54,0.55,0.5,0.57
0.54,0.49,0.59,0.64,0.48,0.48,0.43,0.47,0.61,0.55,0.64,0.55,0.53,0.53,0.56
0.53,0.48,0.58,0.64,0.48,0.51,0.45,0.48,0.6,0.5,0.58,0.53,0.52,0.51,0.55
0.54,0.49,0.59,0.64,0.49,0.53,0.47,0.5,0.58,0.47,0.54,0.51,0.51,0.49,0.55
0.55,0.5,0.57,0.63,0.5,0.53,0.51,0.53,0.56,0.46,0.5,0.48,0.5,0.47,0.56
0.57,0.52,0.56,0.61,0.49,0.56,0.53,0.54,0.56,0.44,0.5,0.49,0.49,0.46,0.55
0.55,0.51,0.58,0.59,0.47,0.56,0.56,0.6,0.57,0.45,0.49,0.45,0.49,0.45,0.55
0.53,0.47,0.6,0.61,0.44,0.56,0.6,0.61,0.58,0.45,0.49,0.42,0.5,0.47,0.55
0.49,0.43,0.62,0.62,0.42,0.46,0.5,0.52,0.59,0.44,0.5,0.4,0.52,0.49,0.56
0.44,0.37,0.65,0.64,0.41,0.33,0.37,0.42,0.62,0.46,0.51,0.4,0.56,0.53,0.56
0.38,0.3,0.66,0.66,0.44,0.29,0.32,0.37,0.63,0.48,0.51,0.42,0.61,0.57,0.57
0.34,0.25,0.67,0.7,0.47,0.28,0.31,0.35,0.65,0.51,0.54,0.42,0.64,0.59,0.59
0.36,0.21,0.64,0.67,0.52,0.3,0.32,0.38,0.65,0.55,0.57,0.43,0.63,0.58,0.6
0.4,0.24,0.64,0.67,0.57,0.43,0.43,0.47,0.66,0.59,0.59,0.43,0.62,0.57,0.6
0.44,0.29,0.64,0.67,0.6,0.56,0.56,0.58,0.64,0.62,0.63,0.41,0.59,0.54,0.58
0.5,0.34,0.63,0.65,0.62,0.61,0.59,0.61,0.63,0.63,0.65,0.38,0.56,0.51,0.57
0.56,0.41,0.61,0.63,0.64,0.61,0.58,0.62,0.63,0.65,0.67,0.38,0.53,0.52,0.56
0.56,0.47,0.61,0.66,0.64,0.62,0.56,0.61,0.63,0.65,0.69,0.37,0.54,0.53,0.56
0.57,0.47,0.61,0.66,0.63,0.62,0.57,0.6,0.62,0.65,0.71,0.41,0.55,0.55,0.57
0.57,0.47,0.61,0.66,0.61,0.6,0.57,0.59,0.64,0.65,0.71,0.45,0.57,0.55,0.59
0.57,0.47,0.62,0.67,0.59,0.58,0.56,0.59,0.63,0.65,0.71,0.48,0.58,0.55,0.6
0.54,0.42,0.64,0.69,0.6,0.57,0.56,0.59,0.62,0.65,0.71,0.52,0.58,0.53,0.61
0.56,0.45,0.66,0.69,0.62,0.57,0.51,0.54,0.63,0.65,0.71,0.56,0.59,0.52,0.61
0.56,0.47,0.66,0.69,0.54,0.51,0.44,0.5,0.64,0.64,0.7,0.56,0.59,0.52,0.61
0.56,0.47,0.65,0.68,0.47,0.49,0.39,0.46,0.65,0.62,0.67,0.56,0.61,0.55,0.61
0.55,0.47,0.64,0.68,0.41,0.47,0.35,0.42,0.66,0.59,0.65,0.56,0.63,0.57,0.62
0.61,0.56,0.64,0.67,0.32,0.44,0.29,0.36,0.67,0.57,0.62,0.56,0.65,0.59,0.62
0.6,0.56,0.64,0.67,0.22,0.41,0.29,0.36,0.67,0.54,0.59,0.56,0.67,0.61,0.63
0.68,0.64,0.57,0.63,0.56,0.55,0.56,0.57,0.6,0.49,0.55,0.52,0.53,0.45,0.51
0.67,0.63,0.55,0.62,0.59,0.54,0.57,0.57,0.61,0.49,0.56,0.51,0.57,0.5,0.5
0.66,0.61,0.54,0.62,0.61,0.53,0.57,0.57,0.64,0.48,0.55,0.52,0.61,0.54,0.5
0.64,0.6,0.51,0.59,0.64,0.52,0.59,0.57,0.66,0.46,0.55,0.47,0.64,0.58,0.49
0.61,0.56,0.49,0.58,0.68,0.52,0.61,0.6,0.67,0.48,0.55,0.45,0.66,0.61,0.48
0.59,0.54,0.49,0.56,0.7,0.55,0.63,0.62,0.67,0.5,0.58,0.48,0.63,0.58,0.44
0.58,0.54,0.48,0.55,0.68,0.57,0.64,0.65,0.66,0.52,0.59,0.43,0.59,0.56,0.41
0.59,0.54,0.47,0.53,0.66,0.59,0.67,0.68,0.66,0.53,0.6,0.37,0.54,0.54,0.38
0.59,0.54,0.47,0.51,0.66,0.61,0.67,0.71,0.65,0.55,0.61,0.36,0.51,0.54,0.38
0.59,0.53,0.44,0.48,0.66,0.66,0.71,0.71,0.63,0.52,0.6,0.31,0.47,0.51,0.39
0.58,0.52,0.42,0.46,0.63,0.71,0.75,0.71,0.6,0.5,0.59,0.25,0.45,0.52,0.44
0.57,0.5,0.43,0.46,0.65,0.75,0.79,0.71,0.59,0.49,0.59,0.27,0.43,0.47,0.5
0.57,0.49,0.43,0.46,0.65,0.8,0.83,0.71,0.57,0.48,0.57,0.29,0.45,0.47,0.56
0.57,0.5,0.42,0.47,0.62,0.8,0.87,0.71,0.54,0.44,0.55,0.32,0.41,0.45,0.58
0.58,0.52,0.41,0.48,0.6,0.76,0.87,0.71,0.53,0.39,0.51,0.36,0.43,0.45,0.58
0.59,0.54,0.41,0.49,0.58,0.71,0.87,0.66,0.55,0.35,0.46,0.38,0.44,0.46,0.56
0.6,0.56,0.41,0.51,0.59,0.67,0.82,0.65,0.55,0.35,0.42,0.39,0.49,0.52,0.55
0.62,0.58,0.43,0.53,0.61,0.63,0.77,0.64,0.56,0.34,0.41,0.35,0.47,0.53,0.53
0.64,0.59,0.5,0.58,0.63,0.63,0.72,0.63,0.57,0.38,0.43,0.34,0.5,0.54,0.54
0.65,0.61,0.56,0.63,0.65,0.63,0.67,0.62,0.58,0.44,0.49,0.33,0.49,0.56,0.55
0.65,0.6,0.61,0.66,0.69,0.63,0.63,0.66,0.55,0.5,0.54,0.33,0.49,0.57,0.56
0.64,0.59,0.65,0.68,0.69,0.63,0.63,0.66,0.53,0.51,0.58,0.35,0.48,0.58,0.58
0.61,0.57,0.66,0.7,0.69,0.63,0.63,0.66,0.51,0.51,0.58,0.43,0.48,0.58,0.58
0.6,0.55,0.64,0.69,0.68,0.63,0.63,0.67,0.53,0.48,0.56,0.47,0.52,0.59,0.58
0.59,0.54,0.62,0.67,0.67,0.63,0.63,0.67,0.54,0.45,0.53,0.49,0.54,0.59,0.57
0.6,0.55,0.6,0.65,0.67,0.63,0.63,0.67,0.57,0.43,0.51,0.51,0.57,0.59,0.57
0.61,0.56,0.57,0.62,0.67,0.63,0.63,0.67,0.58,0.4,0.49,0.52,0.57,0.59,0.56
0.63,0.57,0.56,0.6,0.66,0.63,0.63,0.68,0.57,0.4,0.49,0.52,0.56,0.57,0.56
0.62,0.57,0.55,0.59,0.71,0.63,0.63,0.68,0.53,0.45,0.51,0.49,0.52,0.55,0.57
0.62,0.57,0.54,0.59,0.78,0.53,0.53,0.58,0.53,0.46,0.53,0.5,0.48,0.53,0.57
0.61,0.56,0.55,0.62,0.84,0.42,0.42,0.49,0.53,0.48,0.55,0.5,0.46,0.51,0.58
0.6,0.56,0.56,0.64,0.9,0.29,0.32,0.41,0.49,0.5,0.56,0.46,0.46,0.49,0.59
0.6,0.56,0.57,0.64,0.94,0.19,0.22,0.32,0.51,0.51,0.58,0.43,0.49,0.52,0.6
0.6,0.56,0.56,0.63,0.95,0.08,0.11,0.22,0.53,0.48,0.57,0.4,0.53,0.53,0.62
0.59,0.56,0.56,0.61,0.86,0.08,0.11,0.22,0.52,0.48,0.57,0.3,0.57,0.55,0.65
0.59,0.56,0.58,0.62,0.77,0.08,0.11,0.22,0.53,0.48,0.57,0.2,0.59,0.57,0.67
0.63,0.6,0.56,0.57,0.48,0.54,0.54,0.6,0.55,0.49,0.58,0.51,0.55,0.54,0.52
0.63,0.59,0.6,0.61,0.48,0.48,0.55,0.6,0.53,0.46,0.55,0.5,0.58,0.56,0.51
0.63,0.61,0.58,0.6,0.48,0.45,0.55,0.61,0.5,0.42,0.52,0.47,0.6,0.57,0.5
0.62,0.59,0.51,0.56,0.48,0.41,0.52,0.58,0.49,0.38,0.49,0.47,0.62,0.59,0.46
0.58,0.54,0.43,0.5,0.48,0.36,0.53,0.59,0.49,0.37,0.48,0.47,0.61,0.6,0.45
